,Time,User,Tweet
0,2022-01-06 13:22:01+00:00,1469891544794624000,"@TheCryptoBlade @nftmusicstream What makes you feel confident about the survival &amp; sustainable success of Your project in the near future?While you build your project, do you take into account community feedbacks and demands?
@simapervin4    @gril_drem   @pakistani141947"
1,2022-01-06 13:21:59+00:00,300937066,"RT @thekaipullai: Me : I will make Manjappai &amp; sell

VC : Go to hell

Me: I will make biodegradable, luminescent, reusable, sustainable, de…"
2,2022-01-06 13:21:54+00:00,14749429,"RT @ONT_Dad: Lowering class sizes would have been a sustainable solution that would have avoided school closure costs, online costs, HVAC c…"
3,2022-01-06 13:21:49+00:00,929016924163452928,"Happy New Year everyone!

MidKent College have invested in a new learning centre where the next generation in sustainable construction will be trained and qualified, so they can develop new environmentally focused solutions in construction.

Want to get involved? Then apply now! https://t.co/QiMJV4iX2V"
4,2022-01-06 13:21:44+00:00,1452252635856310280,"RT @Zepzi: #HBAR is the most used, most sustainable, and most secure enterprise-grade public-DLT. Built upon by Fortune 10s-500s, start-ups…"
5,2022-01-06 13:21:41+00:00,1338103437116968963,"RT @ledgernomic: https://t.co/pnq7bQPfrH 

What are some of the most environmentally friendly and #sustainable #cryptocurrencies? #GreenCry…"
6,2022-01-06 13:21:37+00:00,50879569,RT @beeple: SUSTAINABLE FUTURE https://t.co/UtriIci8zF
7,2022-01-06 13:21:36+00:00,1334495384278806528,"Geology and Geoconservation, Biodiversity and Natura 20000 Network, Education for Sustainable Development, Agriculture and Food Sector and Geotourism and Nature Tourism are the thematic areas that @aroucageopark_  proposes to research.

https://t.co/qNDAi1qUsf https://t.co/v7IIwRhaYJ"
8,2022-01-06 13:21:35+00:00,776795714290606080,"FOSSIL FUELS &amp; OIL &amp; GREEN ENERGY FEEL THE NEED TO COMPETE WITH THE POWER OUTPUT OF NUCLEAR ENERGY WHICH CREATES EVEN MORE SEVERE CONSEQUENCES FOR THE ENVIRONMENT, IT JUST ISN'T SUSTAINABLE, STANDING NEXT TO A SOLAR PANEL IN THE HOT SUN IS UNBEARABLE, AND THATS WHEN IT WORKS..."
9,2022-01-06 13:21:28+00:00,94775176,I want to know the whole process behind this issue including transportation + location + brands and people they worked with + sustainable techniques if they used any (!) while printing the magazine https://t.co/HTEh1IUKdV
10,2022-01-06 13:21:27+00:00,905084425062555648,"RT @UN: The #TrollsFoodHeroes have joined forces with the UN to help build a more sustainable world.

By eating all kinds fruits &amp; vegetabl…"
11,2022-01-06 13:21:26+00:00,1531785438,"Government can achieve more from its operations while working toward a more sustainable future with circular economies. Learn more.
https://t.co/NA5f7bZ4RI
https://t.co/NA5f7bZ4RI"
12,2022-01-06 13:21:24+00:00,922759378893119488,"RT @PiyushGoyal: Towards sustainable growth🌱

Govt. led by PM @NarendraModi ji approves Intra-State Transmission System – Green Energy Corr…"
13,2022-01-06 13:21:23+00:00,1440623119215984651,"RT @CMO_Odisha: Reviving traditional &amp; sustainable agricultural practices that are climate resilient, uphold nutritional value &amp; promote su…"
14,2022-01-06 13:21:21+00:00,3009704755,RT @WUR_WCDI: #Course 💻 | Do you want to learn how we can improve food environments in low and middle income countries to help support heal…
15,2022-01-06 13:21:19+00:00,227203126,"#KhadiGoesGlobal |  Rajesh Pratap Singh will showcase his Khadi collection at the @kvicindia Sustainable Khadi Exposition, curated by @fdciofficial at the @expo2020dubai 

#Khadi #KhadiIndia #KhadiFashion #FDCIxKVIC #FDCI #Expo2020 #Dubai https://t.co/cxhOytmgOj"
16,2022-01-06 13:21:14+00:00,2929028001,"RT @DrSJaishankar: -Intra-State Transmission System – Green Energy Corridor Phase-II. 

Will contribute to long term energy security and pr…"
17,2022-01-06 13:21:10+00:00,1379580383562326018,"RT @cosmos: The estimated yearly consumption of a Cosmos-based blockchain is less than the energy consumed by Bitcoin in a single day.
#Cos…"
18,2022-01-06 13:21:07+00:00,1469891544794624000,"@CryptoLibrarys @DeFi_Horse What makes you feel confident about the survival &amp; sustainable success of Your project in the near future?While you build your project, do you take into account community feedbacks and demands?
@simapervin4    @gril_drem   @pakistani141947"
19,2022-01-06 13:21:06+00:00,1364672423086469120,RT @sunshinelu24: #6 I believe Sustainability is one kind of #Web3 scenarios. Sustainability has been spreading around the world for quite…
20,2022-01-06 13:21:05+00:00,1348558873636921349,"RT @cipilica83: @NeotechFinance
Do you need an innovative solution for creating smart and sustainable cities? Choose Neotech. 🏙
https://t.c…"
21,2022-01-06 13:21:03+00:00,961741378580463616,"These small-scale grants will help smallholder farmers create more resilient, sustainable, and self-sufficient #FoodSystems. Thanks so much for highlighting, @claremm2911.
#FoodSecurity
https://t.co/lTibqZsym0 https://t.co/IQ7ZZ3bfrQ"
22,2022-01-06 13:21:03+00:00,102884488,Majid Al Futtaim continues to drive more sustainable environments https://t.co/Qv8FA1y2jS
23,2022-01-06 13:21:03+00:00,1379519313552547842,"Build your patience muscle.

Sustainable wealth requires time."
24,2022-01-06 13:21:00+00:00,1413775881311506436,"@NeotechFinance
Do you need an innovative solution for creating smart and sustainable cities? Choose Neotech. 🏙
https://t.co/X3bbrJ2bgl
https://t.co/8s0ixXYiwt
https://t.co/ZwDe4ise4Z 
#crypto #NEOT #BSC #opensource https://t.co/StCt7fVTCu"
25,2022-01-06 13:20:54+00:00,1372164578,"Not too late to have your say on this important consultation - deadline is January 7th!

This is part of keeping #space #safe and #sustainable 👇 https://t.co/4zU0ZVgcG6"
26,2022-01-06 13:20:51+00:00,1456082414371893248,"@Biswap_Dex Very good project.Looking so sustainable. Hope it will go a long way in future. Really happy to be Part of such a nice project.

0xEaF92B78b3aAf9C9165b6D9c020E044682322826

#biswap_earn ☺️☺️☺️☺️☺️"
27,2022-01-06 13:20:47+00:00,799939528462979072,RT @Stellantis: 📣 LIVE: CEO Carlos Tavares hosts webcast to discuss the transition of #Stellantis to a sustainable mobility tech company.…
28,2022-01-06 13:20:38+00:00,774826149289558016,RT @AJEnglish: These Chilean companies are transforming plastic waste into more sustainable wood-like products 👇 https://t.co/k6bmFzITsy
29,2022-01-06 13:20:37+00:00,1424935009991811072,"@AncientKingNft Very good project.Looking so sustainable.
Hope it will go a long way in future.
Really happy to be part of such a nice project. 
Lets Go To The Moon
@frzwnd @diep27388 @Linh14T
#AncientKingDom #AIRDROP #BSC"
30,2022-01-06 13:20:36+00:00,1428004610174689280,"@HectorDAO_HEC Fellow Hectorians. If you think in terms of market capitalisation, then the current APY is not sustainable if you want the price of HEC to remain at higher levels - unless a lot of new investors buy $HEC. 10,000% APY is still phenomenal"
31,2022-01-06 13:20:33+00:00,1424935009991811072,"Very good project.Looking so sustainable.
Hope it will go a long way in future.
Really happy to be part of such a nice project. 
Lets Go To The Moon
@frzwnd @diep27388 @Linh14T
#AncientKingDom #AIRDROP #BSC https://t.co/bNlpgtIO5d"
32,2022-01-06 13:20:31+00:00,1268050791249719299,"RT @nvgpal79: Trying something new this New Year, as part of #Sustainability #Management Course by Sustainable Advancements
&amp;  @aimaindia .…"
33,2022-01-06 13:20:27+00:00,1424935009991811072,"@AncientKingNft Very good project.Looking so sustainable.
Hope it will go a long way in future.
Really happy to be part of such a nice project. 
Lets Go To The Moon
@frzwnd @diep27388 @Linh14T
#AncientKingDom #AIRDROP #BSC"
34,2022-01-06 13:20:27+00:00,1085800021767999488,"@44Fat2Fit I've always been told that if you need cheat days that you are doing the other days wrong.

I try to work to the guideline of everything in moderation rather than starving yourself and then ending in a big binge, it's not sustainable 🤷🏻‍♂️"
35,2022-01-06 13:20:23+00:00,1424935009991811072,"Very good project.Looking so sustainable.
Hope it will go a long way in future.
Really happy to be part of such a nice project. 
Lets Go To The Moon
@frzwnd @diep27388 @Linh14T
#AncientKingDom #AIRDROP #BSC https://t.co/gNN7yaNgGS"
36,2022-01-06 13:20:22+00:00,1369606146219270150,"RT @Grimhood: You need to get out of major cities. You need to become self-sustainable and unmanageable. 

Not everyone is going to make it…"
37,2022-01-06 13:20:16+00:00,735790229156593665,"RT @DrSJaishankar: -Intra-State Transmission System – Green Energy Corridor Phase-II. 

Will contribute to long term energy security and pr…"
38,2022-01-06 13:20:16+00:00,1424935009991811072,"@AncientKingNft Very good project.Looking so sustainable.
Hope it will go a long way in future.
Really happy to be part of such a nice project. 
Lets Go To The Moon
@frzwnd @diep27388 @Linh14T
#AncientKingDom #AIRDROP #BSC"
39,2022-01-06 13:20:15+00:00,1477964061325533187,"RT @DXBMediaOffice: .@BBC_Travel: #Dubai has worked diligently over the past decade to become more sustainable, with major investments in i…"
40,2022-01-06 13:20:14+00:00,352248090,"RT @NFUtweets: ""Government must ensure schemes incentivise sustainable food production, allow every farm business to be involved &amp; pay farm…"
41,2022-01-06 13:20:11+00:00,1424935009991811072,"Very good project.Looking so sustainable.
Hope it will go a long way in future.
Really happy to be part of such a nice project. 
Lets Go To The Moon
@frzwnd @diep27388 @Linh14T
#AncientKingDom #AIRDROP #BSC https://t.co/EI0WV9aDKG"
42,2022-01-06 13:20:11+00:00,386607187,"2/ Our vision for Wolves Lane Centre is a thriving space for sustainable growing, education, social enterprise &amp; community engagement. New buildings &amp; landscapes will offer space and support for community groups and social enterprises to run activities that benefit the community."
43,2022-01-06 13:20:05+00:00,20513550,RT @TechXplore_com: Scientists develop a novel strategy for sustainable post-#lithium-ionbatteries https://t.co/Gl2W5Fgtz9
44,2022-01-06 13:20:04+00:00,2278998996,RT @TechXplore_com: Scientists develop a novel strategy for sustainable post-#lithium-ionbatteries https://t.co/Gl2W5Fgtz9
45,2022-01-06 13:20:04+00:00,17248121,RT @TechXplore_com: Scientists develop a novel strategy for sustainable post-#lithium-ionbatteries https://t.co/Gl2W5Fgtz9
46,2022-01-06 13:20:04+00:00,2471009922,Scientists develop a novel strategy for sustainable post-#lithium-ionbatteries https://t.co/Gl2W5Fgtz9
47,2022-01-06 13:20:03+00:00,34565395,RT @thenewpaper: RWS commits $10 million to partnership with NUS to work towards sustainable tourism https://t.co/JaCBrNLIWk
48,2022-01-06 13:20:02+00:00,1479078621197254658,"RT @Interstellardim: players can only achieve sustainable development of resources through a reasonable combination of strategies.
Telegram…"
49,2022-01-06 13:20:01+00:00,25095479,"Our new briefing explores the potential of Ireland’s marine areas to help reach the national target of achieving carbon-neutrality by 2050 – with a particular focus on the Shannon Estuary, Ireland’s largest estuarine complex. https://t.co/ndX6OYaLgZ"
